a52dec 0.8.0-2
aalib 1.4rc5-18
aardvark-dns 1.12.2-1
abseil-cpp 20240722.0-1
accountsservice 23.13.9-2
acl 2.3.2-1
addinclude 1.2.0-1
addinclude-debug 1.2.0-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
aircrack-ng 1.7-4
airgeddon 11.31-2
alsa-card-profiles 1:1.2.4-1
alsa-lib 1.2.12-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.12-1
amdapp-sdk 3.0-23
android-sdk-platform-tools 35.0.1-1
android-sdk-platform-tools-debug 35.0.1-1
ant 1.10.15-1
aom 3.10.0-1
apache 2.4.62-1
appstream 1.0.3-1
appstream-glib 0.8.3-2
apr 1.7.5-3
apr-util 1.6.3-2
archive-mount-nautilus-git r7.9b3e27a-1
archlinux-appstream-data 20240914-1
archlinux-keyring 20240709-2
argon2 20190702-6
aribb24 1.0.3-4
asciidoc 10.2.1-1
asciidoctor 2.0.23-2
asleap 2.2-7
asleap-debug 2.2-7
aspnet-runtime 8.0.8.sdk108-1
at-spi2-core 2.54.0-2
atkmm 2.28.4-1
atool 0.39.0-9
attr 2.5.2-1
audit 4.0.2-2
autoconf 2.72-1
autoconf-archive 1:2023.02.20-2
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2
ayatana-ido 0.10.4-1
baobab 47.0-1
base 3-2
base-devel 1-2
base16-manager 1.2.1-1
base16-shell-preview 1.0.0-1
base16-universal-manager 1.0-1
base16-universal-manager-debug 1.0-1
bash 5.2.037-1
bash-completion 2.14.0-2
bc 1.07.1-5
bcg729 1.1.1-2
beef 1.0.2-1
beef-debug 1.0.2-1
bind 9.20.2-1
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-8
blas 3.12.0-5
bluez 5.78-1
bluez-libs 5.78-1
bolt 0.9.8-1
boost-libs 1.86.0-3
botan2 2.19.5-1
brltty 6.6-11
brotli 1.1.0-2
btrfs-progs 6.11-1
bubblewrap 0.10.0-1
bully 1.4.00-1
burpsuite 2024.8.1-1
bzip2 1.0.8-6
c-ares 1.33.1-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.104-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.2-2
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
callaudiod 0.1.10-2
cantarell-fonts 1:0.303.1-2
capstone 5.0.3-1
catatonit 0.2.0-3
cattle 1.2.2-1
cattle-debug 1.2.2-1
cblas 3.12.0-5
ccze 0.2.1-13
ccze-debug 0.2.1-13
cdparanoia 10.2-9
ceti-2-themes 20150923-3
chromaprint 1.5.1-8
cifs-utils 7.0-5
clang 18.1.8-2
clonezilla 5.6.13-1
cloudflared 2024.9.1-1
cmake 3.30.3-2
cockpit 325-1
cockpit-machines 319-1
cockpit-packagekit 325-1
cockpit-pcp 325-1
cockpit-podman 94-1
cockpit-storaged 325-1
colord 1.4.7-2
